player,position,school,weight,dash,bench,vertical,broad,shuttle,cone,hand,arm,wing,height
Kylen Granson,TE,SMU,241.0,4.61,16.0,36.5,120.0,4.4,6.93,9.375,32.625,77.625,73.5
Bryce Thompson,CB,Tennessee,182.0,4.56,9.0,34.0,120.0,4.25,7.19,9.25,30.75,74.25,70.625
Trey Smith,IOL,Tennessee,321.0,5.11,32.0,31.0,112.0,4.82,7.43,9.75,33.625,82.125,77.5
Josh Palmer,WR,Tennessee,210.0,4.51,,34.0,124.0,4.25,6.98,9.625,32.875,76.875,73.25
Larnel Coleman,OT,UMass,307.0,5.17,24.0,31.0,113.0,4.69,7.69,10.375,36.25,84.875,78.25
Jaylon Moore,OT,Western Michigan,311.0,5.25,27.0,30.5,106.0,4.63,7.77,10.75,33.375,82.5,76.125
D'Wayne Eskridge,WR,Western Michigan,190.0,4.38,,35.0,124.0,4.27,6.95,8.625,30.5,73.25,68.75
Max Roberts,EDGE,Boston College,256.0,4.89,28.0,36.5,123.0,4.5,7.56,11.125,32.125,78.375,73.0
Isaiah McDuffie,LB,Boston College,227.0,4.61,25.0,32.5,121.0,4.39,7.26,9.625,30.25,73.125,73.25
Chris Wilcox,CB,BYU,198.0,4.39,,37.5,126.0,4.3,7.19,9.875,31.625,76.625,73.625
Bracken El-Bakri,IDL,BYU,280.0,,,,,,,8.25,29.875,74.75,73.75
Isaiah Kaufusi,LB,BYU,221.0,4.8,19.0,30.5,117.0,4.55,7.01,9.125,31.875,77.125,73.875
Zach Wilson,QB,BYU,214.0,,,,,,,9.5,30.625,74.25,74.125
Kavika Fonua,S,BYU,197.0,4.61,18.0,39.5,125.0,4.38,6.96,8.875,29.625,73.375,71.5
Troy Warner,S,BYU,200.0,,,,,,,9.75,30.75,75.5,73.25
Matt Bushman,TE,BYU,245.0,,23.0,32.5,,4.53,7.13,9.375,32.625,77.875,76.625
Dax Milne,WR,BYU,193.0,4.57,14.0,31.0,114.0,4.22,6.85,9.375,29.375,74.25,72.625
Jovan Grant,S,Merrimack,214.0,4.7,20.0,40.0,118.0,4.2,6.81,10.25,31.5,73.375,72.375
Ambry Thomas,CB,Michigan,191.0,4.41,15.0,38.0,122.0,,,8.625,32.25,75.25,71.875
Ben Mason,FB,Michigan,246.0,4.77,29.0,37.5,117.0,4.42,6.89,9.75,32.625,77.875,74.75
Carlo Kemp,IDL,Michigan,281.0,5.07,27.0,28.5,97.0,4.57,7.33,9.625,30.125,70.875,74.5
Cameron McGrone,LB,Michigan,234.0,,20.0,,,,,9.25,32.125,77.5,72.875
Jalen Mayfield,OT,Michigan,326.0,5.39,,28.5,96.0,4.91,7.86,9.75,32.625,79.75,77.25
Nico Collins,WR,Michigan,215.0,4.42,14.0,37.5,125.0,4.29,6.78,9.375,34.125,78.5,76.125
Cameron Kinley,CB,Navy,201.0,4.6,11.0,34.0,121.0,4.18,7.09,9.125,32.625,78.125,73.375
Jackson Perkins,IDL,Navy,232.0,5.04,14.0,29.0,106.0,4.48,7.31,10.125,33.875,81.5,78.0
Peter Nestrowitz,IOL,Navy,281.0,5.31,25.0,29.0,103.0,4.64,8.18,9.5,31.375,78.25,74.5
Myles Fells,RB,Navy,174.0,4.65,16.0,29.5,114.0,4.13,6.97,9.5,30.875,73.625,68.875
Nelson Smith,RB,Navy,200.0,,,39.0,122.0,,,8.875,29.25,71.875,67.875
Ky'el Hemby,S,Southern Miss,200.0,4.61,16.0,28.5,110.0,4.52,7.34,9.5,31.375,76.375,72.0
Tim Jones,WR,Southern Miss,203.0,4.47,17.0,40.0,124.0,4.14,7.02,9.5,31.375,76.125,72.75
Caleb Farley,CB,Virginia Tech,207.0,,,,,,,8.75,33.375,76.25,73.0
Justus Reed,EDGE,Virginia Tech,253.0,4.81,22.0,30.5,117.0,4.62,7.44,9.25,35.25,81.375,75.0
Brian Johnson,K,Virginia Tech,183.0,,,,,,,8.125,29.375,70.25,72.5
Christian Darrisaw,OT,Virginia Tech,322.0,,,,,,,9.25,34.25,82.125,76.75
Oscar Bradburn,P,Virginia Tech,216.0,,,,,,,9.25,30.875,72.875,73.25
Khalil Herbert,RB,Virginia Tech,210.0,4.46,22.0,33.0,115.0,4.31,6.9,8.5,31.25,73.875,68.875
Frank Darby,WR,Arizona State,201.0,4.61,19.0,34.5,117.0,4.25,7.15,9.375,31.75,74.875,72.0
Mark Gilbert,CB,Duke,186.0,4.48,13.0,36.0,130.0,4.38,7.1,8.75,31.25,76.25,72.125
Victor Dimukeje,EDGE,Duke,262.0,4.83,28.0,34.5,115.0,4.38,7.2,9.5,33.125,80.125,73.5
Deon Jackson,RB,Duke,218.0,4.42,18.0,36.0,123.0,4.4,7.14,9.25,30.25,73.25,71.0
Michael Carter II,S,Duke,184.0,4.36,13.0,35.5,,4.44,6.9,9.5,29.125,72.75,69.625
Noah Gray,TE,Duke,240.0,4.62,15.0,35.0,115.0,4.45,6.9,9.375,31.625,78.25,75.0
Shane McGough,IOL,Florida International,295.0,5.25,20.0,28.0,102.0,4.58,7.6,9.375,30.375,72.5,73.75
Christian Elliss,LB,Idaho,228.0,4.58,22.0,35.5,120.0,4.29,6.94,9.5,31.75,75.5,73.75
Jaelan Phillips,EDGE,Miami,260.0,4.59,21.0,36.0,125.0,4.18,7.13,9.75,33.25,80.75,77.5
Brevin Jordan,TE,Miami,247.0,4.71,17.0,34.0,116.0,4.5,7.57,9.75,32.875,79.25,74.625
Manny Rugamba,CB,Miami (OH),198.0,4.74,10.0,34.5,116.0,4.28,6.94,9.5,30.5,71.875,71.25
Tommy Doyle,OT,Miami (OH),320.0,5.12,24.0,33.5,111.0,4.57,7.42,10.375,35.125,83.875,80.0
Chazz Surratt,LB,North Carolina,229.0,4.58,25.0,31.5,,4.16,7.02,9.625,30.125,75.5,74.125
Michael Carter,RB,North Carolina,201.0,4.54,16.0,34.0,119.0,3.98,6.81,8.75,29.125,73.375,67.875
Javonte Williams,RB,North Carolina,212.0,4.55,22.0,36.0,123.0,4.09,6.93,9.375,30.875,74.875,69.625
Oscar Draguicevich III,P,Washington State,188.0,,,,,,,9.25,29.875,72.5,69.375
BJ Emmons,RB,Florida Atlantic,215.0,4.59,21.0,36.0,120.0,4.14,6.89,9.25,32.25,77.25,71.375
Jared Goldwire,IDL,Louisville,293.0,5.1,20.0,33.0,110.0,4.45,7.32,10.375,33.625,83.25,76.875
Rodjay Burns,LB,Louisville,199.0,4.78,15.0,,,4.3,7.32,9.875,31.375,74.25,71.875
Dorian Etheridge,LB,Louisville,233.0,4.88,19.0,35.0,121.0,4.47,7.25,9.125,31.375,76.125,73.75
Marlon Character,S,Louisville,199.0,4.58,21.0,39.5,127.0,4.22,6.87,9.125,31.75,77.25,71.5
Tutu Atwell,WR,Louisville,155.0,4.39,,33.0,117.0,4.09,6.89,8.875,29.25,69.75,68.875
Dez Fitzpatrick,WR,Louisville,208.0,4.49,,35.0,,4.26,7.09,9.625,32.75,80.625,73.75
Joe Sculthorpe,IOL,North Carolina State,295.0,5.26,23.0,28.0,105.0,4.63,7.69,9.125,31.25,76.5,74.25
Kion Smith,OT,Fayetteville State,315.0,5.33,15.0,24.5,96.0,4.7,7.7,9.625,34.5,81.125,77.5
Joshua Fedd-Jackson,IOL,Virginia Union,331.0,5.62,13.0,24.5,99.0,5.18,8.38,9.25,33.125,80.125,75.125
Jonathon Cooper,EDGE,Ohio State,253.0,4.71,28.0,33.0,108.0,4.31,7.02,9.625,32.125,77.25,74.625
Tommy Togiai,IDL,Ohio State,296.0,5.01,40.0,32.0,105.0,4.51,7.21,8.875,31.75,76.25,73.5
Wyatt Davis,IOL,Ohio State,315.0,,25.0,,,,,9.125,33.875,79.125,75.625
Blake Haubeil,K,Ohio State,233.0,,,,,,,8.875,32.375,73.875,75.75
Justin Fields,QB,Ohio State,227.0,4.46,,,,,,9.125,32.5,74.75,74.75
Jake Hausmann,TE,Ohio State,242.0,4.98,16.0,29.5,112.0,4.44,7.65,9.375,32.125,77.625,76.25
Cagan Baldree,FB,Texas A&M,246.0,5.14,17.0,33.5,114.0,4.5,7.47,9.75,31.5,75.75,74.875
Bobby Brown III,IDL,Texas A&M,321.0,5.04,,33.0,113.0,4.58,7.62,10.5,34.75,85.5,76.0
Ryan McCollum,IOL,Texas A&M,307.0,5.3,20.0,29.5,98.0,4.8,7.71,10.25,33.625,80.875,77.25
Anthony Hines III,LB,Texas A&M,225.0,4.65,27.0,33.0,118.0,4.33,7.08,9.375,32.75,79.5,74.25
Buddy Johnson,LB,Texas A&M,229.0,4.58,,38.5,128.0,4.07,7.09,9.875,31.5,77.625,72.5
Carson Green,OT,Texas A&M,320.0,5.33,23.0,29.5,108.0,4.75,7.08,10.375,34.5,82.5,78.125
Dan Moore Jr.,OT,Texas A&M,311.0,5.21,28.0,30.5,110.0,4.73,7.56,10.25,34.5,83.5,77.625
Kellen Mond,QB,Texas A&M,211.0,4.62,,,,,,9.375,33.5,80.125,74.625
AJ Sanders,RB,Texas A&M,202.0,4.95,12.0,32.0,114.0,4.44,7.3,9.125,29.875,73.5,70.375
Jhamon Ausbon,WR,Texas A&M,217.0,4.72,,33.0,118.0,4.28,6.89,9.875,32.375,79.5,74.375
Dylan Taylor,WR,Texas A&M,204.0,5.02,8.0,25.5,104.0,4.96,8.0,8.75,30.875,74.375,73.375
Cameron Sample,EDGE,Tulane,267.0,4.81,23.0,37.0,116.0,4.48,7.39,9.75,33.375,79.375,74.75
Ben Knutson,OT,Tulane,301.0,5.27,12.0,24.0,99.0,4.85,8.01,9.875,32.375,77.375,79.125
Elijah Molden,CB,Washington,192.0,4.62,13.0,36.5,125.0,,,9.5,29.5,72.5,69.5
Keith Taylor,CB,Washington,187.0,4.54,12.0,33.5,127.0,4.26,6.85,9.5,31.125,75.5,74.25
Josiah Bronson,IDL,Washington,304.0,5.08,27.0,30.0,101.0,4.72,7.63,9.25,31.5,76.25,74.875
William Bradley-King,EDGE,Baylor,252.0,4.79,,34.5,119.0,4.29,7.1,10.25,33.5,80.625,75.5
Trystan Slinker,LB,Baylor,234.0,4.84,20.0,30.5,119.0,4.63,7.59,8.75,30.625,74.875,70.625
Evan Tyler,S,Boise State,199.0,4.58,13.0,33.0,117.0,4.32,7.14,8.75,32.875,77.625,73.75
John Bates,TE,Boise State,250.0,4.84,19.0,31.5,120.0,4.35,6.85,9.625,32.5,79.25,77.375
Ethan Tucky,EDGE,Cincinnati,231.0,4.62,21.0,31.5,115.0,4.3,7.08,9.625,31.875,77.625,73.75
Jarell White,LB,Cincinnati,202.0,4.58,22.0,35.0,125.0,4.35,7.21,8.875,29.75,73.125,68.75
Darius Harper,OT,Cincinnati,300.0,5.05,16.0,30.5,105.0,4.54,7.7,9.375,33.625,82.625,78.625
James Smith,P,Cincinnati,231.0,,,,,,,8.875,32.625,79.5,76.75
Marco Wilson,CB,Florida,191.0,4.35,26.0,43.5,136.0,4.09,6.8,9.625,30.75,73.5,71.625
Kyree Campbell,IDL,Florida,287.0,5.41,,25.0,98.0,5.14,7.96,9.75,33.25,82.625,74.875
Tedarrell Slaton,IDL,Florida,330.0,5.09,27.0,29.0,109.0,4.84,7.91,9.125,32.625,80.125,76.0
Brett Heggie,IOL,Florida,310.0,5.5,21.0,26.0,105.0,4.69,7.66,9.75,33.25,80.5,76.0
Shawn Davis,S,Florida,202.0,,17.0,39.5,128.0,,,9.5,31.875,78.25,70.625
Donovan Stiner,S,Florida,205.0,4.58,15.0,34.5,127.0,4.23,7.08,8.875,31.375,76.375,73.5
Kyle Pitts,TE,Florida,245.0,4.44,22.0,33.5,129.0,4.35,7.12,10.625,33.5,83.375,77.625
Kadarius Toney,WR,Florida,193.0,4.38,9.0,39.5,136.0,4.23,6.88,9.25,31.25,74.5,71.625
Kelvin Joseph,CB,Kentucky,197.0,4.35,,35.0,128.0,4.23,7.21,9.25,31.875,77.125,71.5
Jamar Watson,EDGE,Kentucky,241.0,4.78,19.0,30.0,,4.57,7.33,9.5,32.375,76.125,73.875
Phil Hoskins,IDL,Kentucky,313.0,5.25,20.0,30.5,103.0,4.85,7.87,8.625,34.375,83.375,76.5
Drake Jackson,IOL,Kentucky,293.0,,,31.5,,,,8.25,31.125,77.25,73.875
Landon Young,OT,Kentucky,310.0,5.18,34.0,30.5,108.0,4.89,7.7,10.125,33.75,81.75,78.125
Max Duffy,P,Kentucky,196.0,,,,,,,8.875,29.625,71.125,72.75
Asim Rose,RB,Kentucky,215.0,4.53,24.0,34.0,120.0,4.62,7.26,9.375,31.25,76.75,73.0
Kary Vincent Jr.,CB,LSU,185.0,4.39,8.0,35.5,117.0,,,8.875,30.25,74.25,69.75
Tory Carter,FB,LSU,229.0,4.89,24.0,35.5,112.0,4.38,7.21,9.625,30.625,74.125,72.375
Tyler Shelvin,IDL,LSU,350.0,5.41,,28.5,97.0,5.08,8.15,10.25,33.625,80.25,74.125
Zach Von Rosenberg,P,LSU,235.0,,,,,,,9.5,32.25,77.875,76.125
JaCoby Stevens,S,LSU,212.0,4.62,,42.0,130.0,,,9.25,31.75,77.375,73.125
Ja'Marr Chase,WR,LSU,201.0,4.34,,41.0,132.0,3.99,6.96,9.625,30.75,74.875,72.375
Terrace Marshall Jr.,WR,LSU,205.0,4.4,19.0,39.0,125.0,,,9.5,32.75,78.125,74.5
Nick McCloud,CB,Notre Dame,193.0,4.46,12.0,34.0,,4.16,6.93,9.5,31.875,76.125,72.125
Daelin Hayes,EDGE,Notre Dame,253.0,4.75,26.0,32.5,119.0,4.3,7.21,9.375,32.875,78.375,75.5
Aaron Banks,IOL,Notre Dame,325.0,5.34,24.0,31.0,100.0,4.92,7.73,10.125,33.125,80.75,77.375
Robert Hainsey,IOL,Notre Dame,306.0,5.24,32.0,27.5,104.0,4.64,7.53,9.75,32.125,77.875,76.5
Liam Eichenberg,OT,Notre Dame,306.0,,33.0,26.5,105.0,4.57,7.53,9.625,32.375,79.375,78.125
Ian Book,QB,Notre Dame,211.0,4.65,,32.5,115.0,4.2,7.0,9.875,31.25,75.875,72.0
Tommy Tremble,TE,Notre Dame,241.0,4.65,20.0,36.5,122.0,,,9.25,31.875,78.5,75.375
Bennett Skowronek,WR,Notre Dame,220.0,,13.0,,,,,10.125,33.25,78.125,74.875
Carlos Basham Jr.,EDGE,Wake Forest,274.0,4.65,20.0,34.0,122.0,4.32,7.13,9.25,32.875,79.5,75.25
Jack Crane,K,Wake Forest,193.0,,,,,,,9.125,29.75,71.5,73.625
Jamie Newman,QB,Wake Forest,234.0,,,,,,,9.75,30.5,74.125,74.875
Noah Hannon,LS,Appalachian State,238.0,5.14,15.0,29.5,108.0,4.68,7.34,9.25,30.875,74.125,72.125
Zac Thomas,QB,Appalachian State,205.0,4.59,,30.0,115.0,4.35,7.08,8.75,31.5,75.25,72.625
Nafees Lyon,CB,Charlotte,184.0,4.63,12.0,32.5,120.0,4.69,7.15,8.625,30.625,74.875,68.875
Romeo McKnight,EDGE,Charlotte,252.0,4.98,,38.0,118.0,4.2,7.06,10.5,31.5,75.25,76.125
Jaelin Fisher,IOL,Charlotte,291.0,5.12,28.0,32.0,115.0,4.62,7.35,8.75,31.875,77.625,74.0
Aaron McAllister,RB,Charlotte,219.0,4.76,20.0,32.0,117.0,4.74,7.41,8.625,30.5,73.5,70.25
Ben DeLuca,S,Charlotte,202.0,4.7,15.0,36.0,120.0,4.22,7.22,9.375,31.25,74.875,73.125
Benjamin St-Juste,CB,Minnesota,202.0,4.55,11.0,34.5,119.0,4.01,6.63,9.375,32.625,78.625,75.25
Chris Garrett,EDGE,Concordia St. Paul,241.0,4.88,11.0,30.0,108.0,4.31,7.15,9.625,33.125,78.5,75.5
Cameron Murray,IDL,Oklahoma State,294.0,4.95,27.0,31.5,109.0,4.64,7.84,9.125,32.25,77.875,74.375
Ry Schneider,IOL,Oklahoma State,312.0,5.67,26.0,23.5,85.0,5.37,8.51,10.25,32.875,77.125,74.375
Calvin Bundage,LB,Oklahoma State,221.0,4.81,14.0,31.5,116.0,4.43,7.31,9.25,32.25,76.75,73.75
Amen Ogbongbemiga,LB,Oklahoma State,231.0,4.66,24.0,32.0,112.0,4.28,7.32,9.375,32.75,77.5,72.875
Isaiah Dunn,CB,Oregon State,189.0,4.4,13.0,35.5,127.0,4.14,6.93,8.375,31.5,76.375,71.5
Nahshon Wright,CB,Oregon State,183.0,4.48,6.0,31.0,126.0,4.57,7.19,9.125,32.875,77.875,76.25
Jermar Jefferson,RB,Oregon State,206.0,4.57,13.0,31.0,115.0,4.38,7.38,9.625,30.5,74.25,70.125
Jaylen Harris,CB,Prairie View A&M,170.0,4.77,8.0,30.5,109.0,4.5,7.37,8.75,29.75,70.625,68.5
Tay Gowan,CB,UCF,186.0,4.49,13.0,35.5,118.0,4.27,6.86,8.5,31.125,75.25,72.875
Aaron Robinson,CB,UCF,186.0,4.39,15.0,37.0,123.0,4.31,6.9,8.75,30.25,72.5,71.5
Greg McCrae,RB,UCF,182.0,4.54,,37.5,124.0,4.37,6.88,8.875,30.875,73.875,69.875
Richie Grant,S,UCF,197.0,4.57,12.0,34.5,129.0,4.27,6.78,9.375,32.625,77.625,71.625
Jacob Harris,WR,UCF,219.0,4.43,15.0,40.5,133.0,4.31,6.51,9.5,33.75,81.25,77.0
Tre Nixon,WR,UCF,187.0,4.44,18.0,35.5,125.0,4.25,6.81,9.125,31.75,73.875,72.125
Mike Hampton,CB,USF,186.0,,22.0,,,,,8.875,31.5,75.125,71.625
KJ Sails,CB,USF,177.0,4.67,9.0,32.5,114.0,4.44,7.08,8.875,31.875,75.75,70.25
Noah Johnson,QB,USF,198.0,4.7,17.0,33.5,123.0,4.39,7.18,9.125,32.125,75.5,70.375
DeVontres Dukes,WR,USF,216.0,4.81,16.0,33.0,122.0,4.41,7.07,9.625,32.125,78.375,75.0
Dionte Ruffin,CB,Western Kentucky,180.0,4.54,8.0,36.5,127.0,4.27,7.05,8.25,30.75,74.25,70.25
Devon Key,S,Western Kentucky,208.0,4.56,20.0,38.0,123.0,4.15,7.13,9.25,30.75,75.25,71.625
Carson Williams,TE,Western Kentucky,254.0,4.79,18.0,38.0,115.0,,,9.5,33.25,78.625,76.5
Jerome Johnson,IDL,Indiana,296.0,5.13,21.0,27.5,113.0,4.66,7.7,9.75,33.125,81.5,74.25
Jovan Swann,IDL,Indiana,291.0,4.97,34.0,30.5,109.0,4.75,7.74,8.625,30.875,75.75,74.0
Harry Crider,IOL,Indiana,307.0,5.27,31.0,27.0,102.0,4.64,7.63,8.875,32.75,79.625,74.875
Haydon Whitehead,P,Indiana,202.0,,,,,,,9.125,30.75,78.25,74.5
Stevie Scott III,RB,Indiana,225.0,4.67,18.0,31.0,119.0,4.57,7.14,9.75,33.125,79.75,72.375
Jamar Johnson,S,Indiana,205.0,4.6,17.0,35.0,122.0,4.45,7.22,9.25,30.125,75.5,71.875
Whop Philyor,WR,Indiana,184.0,4.59,14.0,31.0,120.0,4.38,7.2,9.25,30.625,74.875,69.625
Deommodore Lenoir,CB,Oregon,199.0,4.48,15.0,34.5,121.0,4.35,7.02,9.75,30.625,75.125,70.25
Jordon Scott,IDL,Oregon,311.0,,23.0,,,,,9.375,31.375,80.375,72.0
Penei Sewell,OT,Oregon,331.0,5.13,30.0,28.0,109.0,4.68,7.76,10.375,33.25,80.875,76.875
Brady Breeze,S,Oregon,197.0,4.55,20.0,38.0,120.0,4.22,7.05,9.5,30.5,75.375,71.75
Jevon Holland,S,Oregon,207.0,4.48,19.0,35.5,126.0,4.14,,9.125,31.125,76.625,72.625
Nick Pickett,S,Oregon,201.0,4.65,18.0,35.5,119.0,4.43,7.4,8.625,32.75,78.375,72.5
Hunter Kampmoyer,TE,Oregon,243.0,4.83,21.0,31.0,113.0,4.54,7.28,9.125,31.25,76.25,76.375
Zaven Collins,LB,Tulsa,259.0,4.67,19.0,35.0,122.0,4.36,,9.375,33.625,80.375,76.875
Corey Taylor II,RB,Tulsa,214.0,4.66,28.0,33.5,118.0,4.52,7.37,8.625,30.5,72.375,70.25
Jeremy Bell,CB,Charleston,190.0,4.38,20.0,38.0,128.0,4.03,7.03,9.875,31.5,74.25,71.125
Robert Jones,IOL,Middle Tennessee,307.0,5.32,,31.0,101.0,4.84,8.16,9.625,33.375,81.75,76.25
Eli Howard,EDGE,Texas Tech,276.0,5.22,28.0,29.5,110.0,4.55,7.33,9.625,32.375,77.875,75.25
Thomas Leggett,S,Texas Tech,196.0,4.58,20.0,36.5,116.0,4.35,7.25,9.375,30.125,73.375,71.625
TJ Vasher,WR,Texas Tech,203.0,,,37.0,,,,10.25,35.625,84.375,77.625
Antonio Phillips,CB,Ball State,193.0,,,,,,,9.375,31.375,74.875,71.375
Caleb Huntley,RB,Ball State,210.0,4.77,15.0,35.5,110.0,,,9.375,32.375,74.875,69.625
Antwan Davis,WR,Ball State,206.0,4.68,15.0,38.0,122.0,4.37,7.01,9.125,31.625,71.25,70.375
Payton Turner,EDGE,Houston,268.0,,23.0,35.5,,4.31,7.01,10.5,35.375,83.625,77.5
Braylon Jones,IOL,Houston,301.0,5.33,18.0,26.5,108.0,4.75,7.69,9.75,33.375,80.25,75.375
Grant Stuard,LB,Houston,225.0,,28.0,,,,,9.375,30.25,74.125,71.625
Kyle Porter,RB,Houston,206.0,4.73,19.0,38.5,119.0,4.26,6.84,9.875,30.875,74.75,69.75
Marquez Stevenson,WR,Houston,180.0,4.48,,33.0,122.0,4.21,6.86,8.625,31.5,73.875,70.125
Austin Trammell,WR,Rice,181.0,4.62,21.0,40.0,124.0,4.11,6.75,9.5,28.125,69.125,70.125
Brontae Harris,CB,UAB,184.0,4.87,3.0,30.5,105.0,4.54,7.71,9.125,30.25,72.375,69.0
Jordan Smith,EDGE,UAB,264.0,4.84,16.0,33.0,117.0,4.8,7.97,9.375,33.625,81.75,77.875
Jacob Fuqua,LS,UAB,236.0,,,28.0,105.0,4.7,,10.125,31.5,75.125,74.375
Spencer Brown,RB,UAB,208.0,4.64,,36.5,121.0,4.39,7.38,8.5,30.625,75.125,70.375
Myron Mitchell,WR,UAB,189.0,,7.0,34.0,124.0,,,9.625,32.125,76.125,71.875
Austin Watkins Jr.,WR,UAB,209.0,4.56,18.0,,,,,9.625,31.75,75.125,73.5
Ja'Marr Chase,WR,LSU,,,23.0,,,,,,,,
Rashod Bateman,WR,Minnesota,,4.39,,,,,,,,,
Tylan Wallace,WR,Oklahoma State,,4.39,,,,,,,,,
Eric Stokes,CB,Georgia,,4.28,,41.5,131.0,,,,,,
Kary Vincent Jr.,CB,LSU,,4.38,,,,,,,,,
Chazz Surratt,LB,North Carolina,,4.64,27.0,,,,,,,,
Ernest Jones,LB,South Carolina,,,,38.5,124.0,,,,,,
Amari Rodgers,WR,Clemson,,,24.0,,,,,,,,
Marquez Stevenson,WR,Houston,,4.47,,41.5,121.0,,,,,,
Brandon Smith,WR,Iowa,,4.56,22.0,44.0,135.0,,,,,,
Jhamon Ausbon,WR,Texas A&M,,,,36.0,,,,,,,
