player,position,school,weight,dash,bench,vertical,broad,shuttle,cone,hand,arm,wing,height
Rakeem Boyd,RB,Arkansas,213.0,4.64,6.0,32.5,98.0,4.5,7.27,8.625,32.5,76.5,71.0
Rachad Wildgoose II,CB,Wisconsin,197.0,4.41,11.0,36.0,120.0,4.18,7.0,9.375,31.125,75.5,71.25
Mason Stokke,FB,Wisconsin,242.0,4.82,22.0,30.5,111.0,4.34,7.2,9.5,31.625,75.125,74.125
Jon Dietzen,IOL,Wisconsin,312.0,,19.0,27.0,106.0,4.58,7.48,9.375,33.75,79.5,76.625
Adam Bay,LS,Wisconsin,240.0,5.19,14.0,26.0,100.0,4.56,7.65,9.375,31.5,76.5,71.5
Cole Van Lanen,OT,Wisconsin,305.0,5.01,22.0,30.0,107.0,4.64,7.34,9.75,33.375,78.5,76.25
Garrett Groshek,RB,Wisconsin,217.0,4.59,17.0,33.5,115.0,4.22,6.96,9.5,30.375,72.125,71.5
Eric Burrell,S,Wisconsin,197.0,4.64,8.0,35.5,124.0,4.16,7.21,9.125,29.625,72.5,71.0
Tavante Beckett,LB,Marshall,220.0,4.73,18.0,31.0,106.0,4.59,7.36,10.5,33.75,75.125,71.0
Darius Hodge,LB,Marshall,248.0,4.67,26.0,38.5,127.0,4.63,7.18,9.875,34.375,79.625,72.75
Jaylon McClain-Sapp,S,Marshall,183.0,4.45,14.0,41.0,128.0,4.45,7.21,8.875,31.625,75.375,69.875
Shaq Smith,LB,Maryland,237.0,4.79,22.0,30.0,110.0,4.3,7.34,9.5,33.125,79.5,74.625
Daniel Crawford,TE,Northern Illinois,245.0,4.7,14.0,32.5,113.0,4.45,7.19,10.5,32.625,77.625,73.75
Travis Etienne,RB,Clemson,215.0,4.41,18.0,33.5,128.0,,,9.375,31.125,73.125,70.125
JC Chalk,TE/FB,Clemson,250.0,4.64,15.0,28.5,106.0,4.74,7.8,9.625,32.5,76.875,74.75
Amari Rodgers,WR,Clemson,212.0,4.51,19.0,33.0,121.0,4.36,7.12,9.5,30.375,74.875,69.5
